행정구역,2024년01월_계_총인구수,2024년01월_계_연령구간인구수,2024년01월_계_0세,2024년01월_계_1세,2024년01월_계_2세,2024년01월_계_3세,2024년01월_계_4세,2024년01월_계_5세,2024년01월_계_6세,2024년01월_계_7세,2024년01월_계_8세,2024년01월_계_9세,2024년01월_계_10세,2024년01월_계_11세,2024년01월_계_12세,2024년01월_계_13세,2024년01월_계_14세,2024년01월_계_15세,2024년01월_계_16세,2024년01월_계_17세,2024년01월_계_18세,2024년01월_계_19세,2024년01월_계_20세,2024년01월_계_21세,2024년01월_계_22세,2024년01월_계_23세,2024년01월_계_24세,2024년01월_계_25세,2024년01월_계_26세,2024년01월_계_27세,2024년01월_계_28세,2024년01월_계_29세,2024년01월_계_30세,2024년01월_계_31세,2024년01월_계_32세,2024년01월_계_33세,2024년01월_계_34세,2024년01월_계_35세,2024년01월_계_36세,2024년01월_계_37세,2024년01월_계_38세,2024년01월_계_39세,2024년01월_계_40세,2024년01월_계_41세,2024년01월_계_42세,2024년01월_계_43세,2024년01월_계_44세,2024년01월_계_45세,2024년01월_계_46세,2024년01월_계_47세,2024년01월_계_48세,2024년01월_계_49세,2024년01월_계_50세,2024년01월_계_51세,2024년01월_계_52세,2024년01월_계_53세,2024년01월_계_54세,2024년01월_계_55세,2024년01월_계_56세,2024년01월_계_57세,2024년01월_계_58세,2024년01월_계_59세,2024년01월_계_60세,2024년01월_계_61세,2024년01월_계_62세,2024년01월_계_63세,2024년01월_계_64세,2024년01월_계_65세,2024년01월_계_66세,2024년01월_계_67세,2024년01월_계_68세,2024년01월_계_69세,2024년01월_계_70세,2024년01월_계_71세,2024년01월_계_72세,2024년01월_계_73세,2024년01월_계_74세,2024년01월_계_75세,2024년01월_계_76세,2024년01월_계_77세,2024년01월_계_78세,2024년01월_계_79세,2024년01월_계_80세,2024년01월_계_81세,2024년01월_계_82세,2024년01월_계_83세,2024년01월_계_84세,2024년01월_계_85세,2024년01월_계_86세,2024년01월_계_87세,2024년01월_계_88세,2024년01월_계_89세,2024년01월_계_90세,2024년01월_계_91세,2024년01월_계_92세,2024년01월_계_93세,2024년01월_계_94세,2024년01월_계_95세,2024년01월_계_96세,2024년01월_계_97세,2024년01월_계_98세,2024년01월_계_99세,2024년01월_계_100세 이상
전국  (0000000000),"51,313,912","51,313,912","223,895","252,115","266,331","277,362","305,752","331,803","362,177","408,897","442,750","442,035","438,922","489,549","474,033","478,661","447,054","466,241","498,874","452,178","434,364","467,767","491,415","489,437","548,642","631,600","620,445","634,766","665,518","678,540","705,452","708,012","707,645","720,267","701,384","643,867","628,790","622,108","618,659","623,539","646,045","655,114","737,126","811,382","838,463","826,944","824,195","729,411","766,937","750,362","777,594","846,191","880,872","883,959","923,268","913,939","900,120","913,888","846,735","807,001","828,215","814,607","757,413","851,607","876,466","903,343","826,059","749,608","737,025","668,826","680,632","596,282","497,386","542,130","403,240","412,372","417,830","406,279","407,945","333,031","271,347","290,217","278,327","333,506","275,172","224,157","219,241","189,898","162,928","143,763","122,436","100,529","77,196","62,214","46,204","35,395","28,090","20,768","14,478","8,951","5,979","3,811","8,617"
서울특별시  (1100000000),"9,384,325","9,384,325","37,412","40,835","42,977","43,416","47,108","50,058","54,599","61,413","66,553","66,468","66,166","74,278","71,475","73,635","69,001","73,385","78,776","72,831","70,117","82,431","90,019","91,532","106,294","130,951","134,245","143,977","156,587","160,919","167,975","169,358","166,697","167,134","161,404","145,202","138,174","134,664","129,653","127,577","128,614","127,534","139,774","148,084","151,324","148,429","148,324","128,258","135,409","133,846","136,617","148,293","153,646","157,376","164,298","161,434","156,343","153,806","142,775","132,347","137,485","138,051","129,142","140,672","143,737","150,773","141,046","131,189","129,791","118,801","123,783","108,700","92,483","99,832","71,159","76,741","77,953","75,666","77,125","64,544","52,339","53,186","50,388","58,185","47,649","37,738","35,493","30,240","25,794","22,035","18,815","14,783","11,441","9,148","6,736","5,328","4,421","3,321","2,349","1,421",902,639,"1,474"
부산광역시  (2600000000),"3,290,964","3,290,964","12,438","14,270","15,105","15,534","17,560","19,337","21,617","24,414","26,619","26,356","25,808","28,637","27,434","27,326","24,887","25,761","27,523","24,791","24,329","26,895","28,992","29,607","34,404","40,139","38,904","38,877","39,968","40,973","41,650","41,930","42,302","43,065","41,912","38,019","38,035","36,815","36,389","36,383","37,957","39,018","44,791","49,041","52,663","52,116","51,840","44,944","46,262","44,155","47,102","50,752","53,342","53,907","55,849","56,520","55,613","57,294","54,470","50,958","52,712","51,803","50,130","58,772","61,456","64,536","59,607","55,812","56,172","52,104","54,893","47,276","40,519","43,334","35,464","33,513","34,278","33,395","32,195","25,860","20,211","22,948","21,671","23,896","19,696","16,425","15,097","12,609","10,445","9,055","7,532","6,061","4,501","3,577","2,724","1,903","1,554","1,275",894,482,349,195,434
대구광역시  (2700000000),"2,373,844","2,373,844","9,244","10,559","11,491","11,990","13,954","15,110","16,916","19,240","20,510","20,651","20,051","22,549","21,662","21,910","20,129","21,137","22,953","20,774","20,844","21,878","24,179","23,278","26,586","30,128","29,142","28,068","29,440","29,600","30,645","29,973","30,192","30,952","30,028","27,563","27,479","26,017","26,101","26,514","27,443","27,398","31,668","35,301","37,051","36,706","37,012","32,401","34,710","34,718","36,470","39,254","41,290","42,388","43,614","43,456","43,396","44,834","42,675","39,166","40,544","39,845","36,826","41,883","42,798","42,334","40,739","34,243","34,916","32,668","32,414","27,946","24,839","27,469","21,562","20,227","21,190","20,795","19,829","14,444","11,781","14,009","14,195","16,040","13,028","10,611","10,545","8,711","7,502","6,545","5,586","4,505","3,371","2,741","2,018","1,434","1,050",793,566,321,213,117,263
인천광역시  (2800000000),"3,000,454","3,000,454","13,760","15,923","16,451","17,296","18,978","20,443","21,698","24,521","26,442","26,297","25,896","28,713","28,413","28,144","26,298","27,200","29,260","26,212","25,305","26,736","28,446","27,977","31,482","36,049","35,878","36,778","39,585","40,570","42,732","43,549","44,367","45,696","44,841","41,116","39,648","39,228","38,323","38,902","40,285","40,934","45,834","50,165","52,136","50,820","50,539","44,301","46,256","44,470","46,366","49,936","51,958","52,256","54,001","53,787","52,692","53,939","49,781","48,014","50,345","50,350","46,603","51,836","52,402","53,171","47,944","43,814","41,758","36,763","37,001","31,620","26,010","27,978","18,966","20,402","20,933","20,076","20,445","17,107","13,410","13,637","13,201","15,555","12,619","10,122","9,964","8,950","7,342","6,672","5,675","4,641","3,692","2,976","2,305","1,778","1,411","1,062",762,485,327,236,485
광주광역시  (2900000000),"1,418,241","1,418,241","5,981","7,351","7,988","8,119","9,144","9,904","11,022","12,450","13,488","13,529","13,654","15,298","14,553","15,137","14,149","14,828","15,948","14,624","14,099","14,971","16,278","16,152","18,186","20,255","19,578","19,481","20,001","19,967","20,450","19,852","19,429","19,376","18,523","16,711","16,032","16,001","16,000","16,350","17,330","17,808","20,763","23,073","23,466","23,043","23,624","21,040","22,398","22,292","22,338","24,909","25,335","25,540","26,197","25,690","24,370","25,396","23,309","22,412","22,241","20,835","20,505","20,676","20,758","22,708","20,502","18,113","17,602","15,090","15,707","13,625","11,277","12,419","10,411","10,598","10,959","10,185","10,502","8,703","7,175","7,182","6,216","8,529","6,765","5,326","5,004","4,406","3,822","3,100","2,705","2,329","1,719","1,389","1,029",853,700,465,284,214,139,76,206
대전광역시  (3000000000),"1,441,562","1,441,562","7,133","7,862","8,017","7,848","8,642","9,280","10,513","11,646","12,643","12,551","12,776","13,865","13,845","13,704","12,974","13,880","14,892","13,663","13,127","14,828","15,660","15,743","18,156","20,870","20,142","20,960","21,500","21,769","22,122","21,609","21,222","21,339","20,339","18,976","17,907","17,610","17,541","17,377","17,843","17,933","19,755","22,101","22,896","22,537","22,336","20,637","21,609","21,508","21,864","24,153","25,482","25,088","26,236","25,704","25,757","26,511","23,422","21,670","21,985","21,947","19,226","22,875","23,810","24,346","21,830","19,112","19,426","17,895","17,922","15,917","12,607","13,464","10,373","10,681","10,664","10,284","9,648","7,991","6,731","7,129","6,722","8,125","6,658","4,912","5,289","4,572","3,847","3,388","2,871","2,350","1,844","1,466","1,102",829,659,498,340,217,134,84,219
울산광역시  (3100000000),"1,103,402","1,103,402","4,911","5,382","6,042","6,349","7,186","7,860","8,740","10,179","10,873","10,988","10,774","11,991","11,248","11,409","10,715","11,101","11,804","10,429","9,998","10,023","10,224","9,625","10,995","12,200","11,899","12,287","13,152","13,614","14,156","14,028","14,134","14,218","14,382","13,199","13,409","12,989","12,988","13,276","13,770","14,341","16,245","18,208","19,170","19,182","18,868","16,589","17,344","16,465","16,954","18,670","19,375","19,536","20,827","20,949","20,975","21,986","20,853","20,084","20,837","19,603","17,777","20,004","20,436","20,545","18,248","16,509","15,800","14,297","14,219","11,968","10,424","10,563","8,146","7,786","7,475","7,328","6,798","5,113","3,919","4,508","4,344","4,950","3,650","3,113","2,950","2,472","2,061","1,759","1,514","1,280",996,771,600,388,337,243,181,118,79,45,80
세종특별자치시  (3600000000),"386,944","386,944","2,605","3,185","3,598","3,621","4,094","4,523","4,923","5,391","5,783","5,678","5,390","6,046","5,581","5,646","5,191","5,309","5,164","4,529","4,100","3,891","3,719","3,340","3,400","3,685","3,475","3,569","3,548","3,952","4,261","4,676","4,910","5,501","5,675","5,601","5,679","5,993","6,143","6,476","6,413","6,810","7,477","8,535","8,759","8,403","8,481","7,196","7,401","7,025","6,832","7,152","7,005","6,394","6,571","6,079","5,504","5,486","4,731","4,406","4,267","4,374","3,710","4,407","4,394","4,488","3,967","3,576","3,552","3,193","3,275","2,849","2,151","2,391","1,718","1,850","1,870","1,620","1,523","1,293","1,041","1,119","1,049","1,305","1,089",849,868,728,676,630,559,502,391,289,218,184,150,115,71,52,28,11,41
경기도  (4100000000),"13,635,250","13,635,250","67,304","77,271","80,329","83,289","91,317","98,673","106,899","120,179","129,758","129,003","126,847","141,122","135,808","137,098","128,059","132,826","140,902","127,740","120,437","129,301","133,686","132,208","147,290","170,519","168,891","173,680","180,557","183,381","192,538","194,454","196,169","201,974","199,167","183,002","179,831","180,086","179,033","180,308","187,911","189,522","212,561","234,443","242,192","237,575","235,905","207,814","217,270","212,539","218,805","234,993","243,803","244,356","253,885","249,662","243,372","243,070","221,590","212,214","216,815","213,769","194,581","214,833","217,001","220,295","197,636","180,922","171,733","153,580","154,057","133,791","110,450","120,608","80,101","86,284","86,805","85,310","87,227","73,329","60,128","61,271","58,314","68,207","56,839","46,685","44,896","39,414","34,068","29,951","25,477","20,745","16,038","12,940","9,471","7,579","6,027","4,453","3,127","1,989","1,339",875,"1,872"
