날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2024-01-05",108,5,1.4,9.1
"	2024-01-06",108,0.7,-2.7,5.2
"	2024-01-07",108,-4.4,-8.3,-0.9
"	2024-01-08",108,-4.7,-10.3,0
"	2024-01-09",108,-0.6,-1.9,0.4
"	2024-01-10",108,-1,-4.1,3.3
"	2024-01-11",108,1.7,-2.4,4.5
"	2024-01-12",108,0.9,-1.4,4.2
"	2024-01-13",108,0.4,-3.8,6.4
"	2024-01-14",108,-0.6,-3.3,2.4
"	2024-01-15",108,-3.7,-6.9,0.9
"	2024-01-16",108,-2.1,-7.2,4.3
"	2024-01-17",108,0.6,-2.3,1.9
"	2024-01-18",108,4.5,1.4,9.4
"	2024-01-19",108,5.4,4,9
"	2024-01-20",108,3.4,1.9,4.9
"	2024-01-21",108,1.7,-2.4,4.3
"	2024-01-22",108,-8.7,-11.9,-2.4
"	2024-01-23",108,-11.7,-14,-8.2
"	2024-01-24",108,-8,-11.2,-3.7
"	2024-01-25",108,-5.3,-9.7,-0.5
"	2024-01-26",108,-1.7,-6.9,4
"	2024-01-27",108,-0.5,-4.6,4.6
"	2024-01-28",108,-1.5,-5,3.8
"	2024-01-29",108,-0.4,-4.8,4.6
"	2024-01-30",108,1.4,-4,8.1
"	2024-01-31",108,4.7,0.7,10.6
"	2024-02-01",108,2.4,-1.3,8.2
"	2024-02-02",108,3.1,0.7,7.9
"	2024-02-03",108,4.7,-0.2,8.3
"	",,,,
