국가별,시점,수출금액[천불],수입금액[천불],무역수지[천불]
중국,2019.01 월,10836336,10338825,497512
중국,2019.02 월,9532194,6583455,2948739
중국,2019.03 월,11442781,8804782,2637999
중국,2019.04 월,12429813,9793054,2636759
중국,2019.05 월,11014513,9943419,1071094
중국,2019.06 월,10422956,8656551,1766405
중국,2019.07 월,11444067,9392846,2051221
중국,2019.08 월,11287793,8312968,2974826
중국,2019.09 월,11362386,8197068,3165318
중국,2019.10 월,12243754,9215893,3027860
중국,2019.11 월,11888955,8966004,2922951
중국,2019.12 월,12296986,9023873,3273112
중국,2020.01 월,9642031,9428226,213805
중국,2020.02 월,8824933,5553041,3271893
중국,2020.03 월,10643503,8955781,1687723
중국,2020.04 월,10151495,9626467,525028
중국,2020.05 월,10743735,8993976,1749759
중국,2020.06 월,11443240,8925691,2517548
중국,2020.07 월,11726183,9184553,2541631
중국,2020.08 월,10937538,8259963,2677575
중국,2020.09 월,12185274,9166601,3018673
중국,2020.10 월,11527356,9622284,1905072
중국,2020.11 월,12029854,10286167,1743688
중국,2020.12 월,12710301,10881895,1828406
중국,2021.01 월,11787037,10763268,1023769
중국,2021.02 월,11208799,9021941,2186859
중국,2021.03 월,13408119,10884575,2523544
중국,2021.04 월,13401058,11517639,1883419
중국,2021.05 월,13246809,10874644,2372165
중국,2021.06 월,13070490,11423625,1646865
중국,2021.07 월,13586374,11524030,2062345
중국,2021.08 월,13881328,11731429,2149899
중국,2021.09 월,14291980,11409467,2882513
중국,2021.10 월,14415867,11984639,2431228
중국,2021.11 월,15272549,13663761,1608788
중국,2021.12 월,15342563,13829109,1513454
중국,2022.01 월,13369829,13178864,190965
중국,2022.02 월,13042436,10410116,2632320
중국,2022.03 월,15642332,12626984,3015349
중국,2022.04 월,12949234,12332268,616966
중국,2022.05 월,13419779,14515941,-1096162
중국,2022.06 월,12960973,14158524,-1197551
중국,2022.07 월,13214288,13823354,-609066
중국,2022.08 월,13116160,13501248,-385087
중국,2022.09 월,13342692,12677996,664696
중국,2022.10 월,12155841,13411941,-1256100
중국,2022.11 월,11377960,12129046,-751086
중국,2022.12 월,11197865,11810034,-612169
중국,2023.01 월,9207883,13142454,-3934571
중국,2023.02 월,9883670,11022787,-1139118
중국,2023.03 월,10479770,13189268,-2709498
중국,2023.04 월,9523301,11792807,-2269506
중국,2023.05 월,10583517,12376880,-1793363
중국,2023.06 월,10498953,11799900,-1300948
미국,2019.01 월,6209466,5290688,918778
미국,2019.02 월,5442457,4371194,1071263
미국,2019.03 월,6319152,5022184,1296969
미국,2019.04 월,6158443,5585755,572688
미국,2019.05 월,6500301,5512696,987605
미국,2019.06 월,6249176,4671519,1577657
미국,2019.07 월,6113230,5383261,729968
미국,2019.08 월,5619803,5175083,444720
미국,2019.09 월,5690676,4758785,931891
미국,2019.10 월,6357758,4963127,1394632
미국,2019.11 월,6265034,5273129,991906
미국,2019.12 월,6418400,5871143,547257
미국,2020.01 월,5740347,5577076,163272
미국,2020.02 월,5931572,5435012,496560
미국,2020.03 월,7281215,5371871,1909344
미국,2020.04 월,5277226,5041816,235410
미국,2020.05 월,4589358,4292824,296534
미국,2020.06 월,5735515,4597451,1138063
미국,2020.07 월,6596979,4445079,2151900
미국,2020.08 월,5581925,4614340,967585
미국,2020.09 월,6997554,4654363,2343191
미국,2020.10 월,6562209,4363458,2198751
미국,2020.11 월,6664272,4188104,2476168
미국,2020.12 월,7157647,4910784,2246863
미국,2021.01 월,8412355,5018162,3394193
미국,2021.02 월,6396235,5761028,635207
미국,2021.03 월,7970756,6221033,1749723
미국,2021.04 월,7557229,6440357,1116872
미국,2021.05 월,7448016,6436130,1011886
미국,2021.06 월,8717226,6489351,2227875
미국,2021.07 월,8724016,6339477,2384539
미국,2021.08 월,7704224,6210232,1493992
미국,2021.09 월,7983934,5959730,2024204
미국,2021.10 월,8066783,5995841,2070941
미국,2021.11 월,8133640,6640496,1493144
미국,2021.12 월,8787542,5701577,3085965
미국,2022.01 월,8569920,7105625,1464295
미국,2022.02 월,7740905,5965125,1775780
미국,2022.03 월,9638757,6996572,2642184
미국,2022.04 월,9605726,6606658,2999068
미국,2022.05 월,9620649,7196286,2424363
미국,2022.06 월,9768741,6769779,2998962
미국,2022.07 월,10104092,6690429,3413663
미국,2022.08 월,8751247,7779216,972031
미국,2022.09 월,9248928,6657837,2591091
미국,2022.10 월,8591668,6692906,1898761
미국,2022.11 월,8775694,6529866,2245828
미국,2022.12 월,9349378,6794422,2554956
미국,2023.01 월,8059573,6962993,1096580
미국,2023.02 월,8991647,6011051,2980595
미국,2023.03 월,9775095,6677848,3097247
미국,2023.04 월,9184172,5523317,3660855
미국,2023.05 월,9470911,6022492,3448419
미국,2023.06 월,9592349,5529720,4062629
일본,2019.01 월,2617333,4050305,-1432973
일본,2019.02 월,2296310,3807446,-1511136
일본,2019.03 월,2261652,4315381,-2053729
일본,2019.04 월,2277192,4632881,-2355689
일본,2019.05 월,2533489,3715764,-1182275
일본,2019.06 월,2255619,3881638,-1626019
일본,2019.07 월,2545212,4203610,-1658399
일본,2019.08 월,2243165,3886997,-1643832
일본,2019.09 월,2310566,3822451,-1511885
일본,2019.10 월,2372581,3816086,-1443505
일본,2019.11 월,2410613,3523164,-1112551
일본,2019.12 월,2296481,3925130,-1628648
일본,2020.01 월,2434953,3163260,-728307
일본,2020.02 월,2265045,3771979,-1506934
일본,2020.03 월,2485053,4390046,-1904993
일본,2020.04 월,1984660,3988576,-2003916
